ID_Cliente,Edad,Estado_Civil,Ingreso_Mensual,Cuenta_Sueldo,Cantidad_Producto_Financiero_BBVA,Uso_Banca_Internet,Deuda_Total_Tarjeta_ Credito,Linea_Disponible_Tarjeta_Credito,Linea_Total_Tarjeta_Credito,Porcentaje_Linea_Utilizada,Cantidad TOTAL_Reclamos
ID205,51,1,18,0,2,0,31,3,34,91%,3
ID206,51,0,14,0,2,0,0,62,62,0%,5
ID207,51,1,14,0,2,1,14,35,49,29%,5
ID208,51,3,17,0,3,1,6,93,99,6%,2
ID209,51,0,14,0,3,1,0,25,25,0%,8
ID210,51,1,14,1,4,1,0,80,80,0%,7
ID211,51,0,16,0,4,1,20,5,25,80%,3
ID212,51,3,14,0,4,1,3,66,69,4%,7
ID213,52,3,14,0,2,1,36,70,106,34%,5
ID214,52,3,13,0,2,1,0,31,31,0%,9
ID215,52,3,18,0,2,1,0,40,40,0%,6
ID216,52,3,17,0,2,0,0,40,40,0%,5
ID217,52,1,12,1,3,1,10,0,10,100%,5
ID218,52,1,18,0,3,1,4,25,29,14%,1
ID219,52,3,18,0,3,1,0,22,22,0%,5
ID220,52,1,14,0,4,0,13,17,30,43%,6
ID221,52,0,18,1,4,1,9,100,109,8%,4
ID222,52,3,12,1,4,1,0,122,122,0%,5
ID223,52,3,16,1,4,1,0,100,100,0%,6
ID224,52,3,14,1,4,1,7,4,11,64%,3
ID225,52,3,19,1,4,1,19,111,130,15%,9
ID226,52,1,18,0,4,1,0,14,14,0%,7
ID227,53,3,19,1,4,0,27,2,29,93%,3
ID228,53,3,13,0,2,0,0,120,120,0%,4
ID229,53,0,19,0,2,1,0,100,100,0%,6
ID230,53,3,19,0,2,0,0,60,60,0%,8
ID231,53,3,15,0,2,0,0,30,30,0%,3
ID232,53,1,14,0,3,1,11,33,44,25%,5
ID233,53,3,14,0,3,1,0,60,60,0%,4
ID234,53,1,18,0,4,0,0,76,76,0%,6
ID235,53,1,19,0,4,1,0,120,120,0%,8
ID236,53,0,16,0,4,1,0,70,70,0%,6
ID237,53,0,12,0,4,1,0,40,40,0%,8
ID238,53,3,18,1,4,1,23,30,53,43%,8
ID239,54,3,17,1,4,0,0,80,80,0%,8
ID240,54,3,15,0,2,1,12,27,39,31%,1
ID241,54,1,18,0,3,1,32,46,78,41%,4
ID242,54,3,16,0,3,1,0,90,90,0%,5
ID243,54,3,12,0,4,1,5,24,29,17%,6
ID244,54,3,13,0,4,0,0,70,70,0%,9
ID245,55,3,18,1,4,1,0,29,29,0%,4
ID246,55,1,13,0,2,1,0,4,4,0%,5
ID247,55,3,12,0,3,0,0,90,90,0%,4
ID248,55,1,19,0,3,1,0,39,39,0%,6
ID249,55,1,17,1,4,1,19,7,26,73%,9
ID250,55,3,14,1,4,1,0,40,40,0%,5
ID251,56,3,13,1,2,1,0,65,65,0%,3
ID252,56,3,18,0,2,1,0,50,50,0%,5
ID253,56,2,12,1,2,1,0,5,5,0%,3
ID254,56,1,13,0,2,1,19,26,45,42%,3
ID255,56,1,14,0,4,1,0,100,100,0%,2
ID256,56,2,12,1,4,1,13,46,59,22%,6
ID257,57,2,15,0,4,1,0,30,30,0%,5
ID258,57,1,16,0,3,1,28,46,74,38%,4
ID259,57,3,14,0,4,1,12,70,82,15%,5
ID260,57,2,17,0,4,0,33,46,79,42%,4
ID261,57,3,13,1,4,1,0,15,15,0%,6
ID262,57,0,13,0,4,1,13,120,133,10%,7
ID263,57,0,15,1,4,1,2,27,29,7%,7
ID264,57,1,12,0,4,1,3,91,94,3%,7
ID265,58,2,12,0,2,1,0,87,87,0%,2
ID266,58,2,14,0,4,0,2,23,25,8%,6
ID267,58,3,15,0,4,1,0,70,70,0%,6
ID268,58,2,16,1,4,1,2,40,42,5%,7
ID269,58,0,14,0,4,1,0,100,100,0%,8
ID270,59,3,17,0,3,0,0,75,75,0%,3
ID271,59,2,12,0,2,1,0,95,95,0%,7
ID272,59,1,15,0,1,0,0,65,65,0%,7
ID273,59,0,19,0,2,1,17,44,61,28%,5
